label,title,text,sentiment,score_0,sentiment_1,score_1,sentiment_2,score_2,sentiment_3,score_3
0,Micronics, Micronics later known as Khaos is a Japanese video game developer responsible for a large number of conversions of popular arcade titles.Many of their Family Computer releases are poorly programmed including but not limited to: long delays between screens since the games transferred graphics to video memory at a much slower rate than usual; and very low frame rates varying between 12 and 20 frame/s instead of the expected 60 frame/s.,0,0.99950266,0,0.9997489,0,0.9626046,2,0.4864613
0,GlyphX, GlyphX Inc. is a computer graphics designer studio that has been producing promotional videos cinematics and artwork for various video games for several years before going into video game design. The third-person shooter Advent Rising the first and as of June 2010 the latest video game created by GlyphX Games LLC the game designer branch of the company had been long anticipated by critics and fans of the genre but turned out to be rather a disappointment for both.,0,0.99948335,0,0.9993025,0,0.9001823,2,0.46096262
0,Arnoro, Arnoro was a charter airline based in Sarajevo Bosnia and Herzegovina. It was established in 2004 and started operations in November 2004. It operated services to Scandinavia and Turkey. Its main base was Sarajevo International Airport.From start Arnoro had many technical problems. Flights to Scandinavia were soon forbidden because there were not installed security door between cockpit and passenger cabin on their MD-81. Flights were canceled and no money was given back to any of passengers.,0,0.99947673,0,0.9995308,1,0.6938821,2,0.63876355
0,Fox Atomic, Fox Atomic was a production label of film studio 20th Century Fox created in 2006 to generate comedy and genre films.In 2008 following overall disappointing results Fox Atomic scaled back its production operations and shut down all marketing divisions. In 2009 the label was shut down with films in development transferred to other Fox labels.,0,0.99946743,0,0.9832072,0,0.996588,2,0.5377394
0,Testing Mom, Testingmom.com and Karen Quinn has repeatedly been accused of billing fraud and wrongfully continued billing customers without permission. The site is being investigated. Do not use or cancel Immediately.TestingMom.com is an online service that provides test prep materials for parents for gifted education and testing founded in 2010.,0,0.9994418,0,0.99981505,1,0.92370903,2,0.80375886
0,SMS.ac Inc., SMS.ac Inc. is a mobile data and Internet communications company based in San Diego California. The company (and its spinoff subsidiary FanBox) has been widely criticized for charging unrequested SMS services from consumers and for failing to respond to the complaints of users and for FanBox's e-mail activities.,0,0.99941206,0,0.9978308,0,0.98324996,2,0.88390243
0,American Police Force, American Police Force (APF) and under its revised name American Private Police Force was a fraudulent entity claiming to be a private military company. It never possessed any legitimacy to operate in the United States.,0,0.99940777,0,0.9996375,1,0.9997501,2,0.7676557
0,Fair Business Association of America, The Fair Business Association of America or FBAA is an association of dubious origin[citation needed] that claims to offer a service akin to the Better Business Bureau (BBB). They posit their purpose is to promote truth in the American workplace.,0,0.99931407,0,0.9926099,1,0.9998807,0,0.59526
0,Fly Aruba, Fly Aruba was an airline company based in Aruba. Formed in 2010 the company had filed for bankruptcy by June 2012 after failing to receive regulatory permission to fly and not paying salaries to its local workers.,0,0.99931383,0,0.9981079,0,0.9663448,2,0.46399006
0,SlimWare Utilities, SlimWare Utilities is an American information technologies company that produces cleaning and optimization programs for an international market. The Web of Trust website lists Slimware's benchmark product DriverUpdate as receiving 14 out of 20 negative reviews.(despite an overall positive rating being listed there.) Slimware products claim to center on using crowdsourced feedback to generate real time reviews and evaluations of other programs.,0,0.9992849,0,0.9718123,1,0.9624496,2,0.45153022
